MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
10_20081128,1664979.762600271,659502.142691417,566944.0018671998,3613.9221298978814,3193.7060535677624
100_20080707,1508082.8543700476,642138.3147285533,521387.96837779327,3046.2458585841323,3080.2819226265824
1000_20080411,1363652.6564260044,624344.1126777275,494672.0177841603,3847.622127529134,3406.7754696400752
1000_20130111,1356145.1423078403,608633.8770573892,486625.57289209886,3761.570234828343,3383.01834945576
1000_20140408,1360791.3302612093,606299.4134821455,490119.9916064621,3695.006425498183,3326.117218300106
1001_20080411,1592582.0590473253,696480.792253651,580166.7802339372,4226.840018535726,4011.198385593434
1001_20130111,1585411.1083631313,667173.6181936966,575278.9091537063,3866.107613537569,3698.5299071789486
1001_20140429,1588361.087939221,667800.0064795922,579441.9382324399,3735.0106419587887,3675.0450412372456
101_20080905,1570229.8241741846,699643.8769498952,529940.3604712414,3916.703989462053,3623.652373625895
101_20100514,1565947.5495680266,686033.3120626215,528190.9101374211,3749.105264950776,3578.448338945725
101_20111123,1564725.839890072,676880.2910202994,526387.423281472,3741.3430216789056,3541.8594433922326
101_20130214,1563093.1643312457,675493.5583034134,524221.031187685,3608.0505210245374,3483.749796881011
101_20140909,1562324.5039471376,658326.4299865209,524876.9911370908,3549.806188225878,3392.200345860244
101_20170804,1572564.8651639067,643281.9529251923,538034.4768416331,3450.9201800946075,3461.975991083777
1013_20080328,1362255.0539081884,601469.0450982079,468499.2749501841,3163.285375122983,2952.4804692378148
1013_20100205,1360050.6017689905,587329.1805738145,468347.41214329744,2975.347039931773,2720.515549800421
1013_20110906,1356204.339581829,564036.3970097273,460319.97565643047,2944.363532165978,2600.001094549706
102_20080822,1421441.1896091446,627670.5925091992,488385.8641207327,3880.930867494865,3283.650961277124
102_20100507,1422477.5579351648,616693.9532137461,487311.26932265,3714.607890657053,3030.46027938146
102_20110919,1419543.699200114,605642.3251419187,474656.1978724398,3486.8543969902457,2896.6054308056127
102_20130225,1415728.575139325,595085.4182604748,478162.1547518755,3386.436295399228,2753.069045456961
102_20140805,1412861.4909805967,585924.754793167,476005.35619339294,3306.4136166400485,2693.774691459147
1020_20110219,1561581.527583179,677723.0626661435,597864.3189674675,2948.8316014456213,2670.9137518544894
1024_20120517,1404552.3406936603,567614.6040807613,523669.675680814,3642.7634556229,3008.3204252376418
1025_20120707,1616865.9210209628,621172.3803797892,584478.9852775817,3713.348427958083,3786.8226118371103
1025_20170731,1620745.8627070107,577253.1571138747,529018.7146448003,3156.14452063454,3618.8345795529326
1026_20130521,1584219.901938022,681664.7453297263,580202.4582493625,4056.357480690194,3733.62258266478
1026_20170904,1566564.0713672992,614291.2456877314,574069.5733942818,3921.333320650068,3684.763191420685
1027_20120322,1593835.2558111874,689556.9534922797,583313.9446991473,4218.016830086404,3863.217143702641
1027_20170710,1594101.7565180203,659837.9699238834,553262.071611275,4098.708005245691,3731.9594382551895
1032_20080512,1482652.4232084183,624044.0231988303,503481.67907206446,3187.9888128091225,2901.3584094334046
1032_20091218,1480253.996365104,599300.5623210857,508197.0209571878,3137.8075465585443,2849.187353935826
104_20081114,1257230.6833572832,506415.1020257088,460958.6249816125,3080.094483793672,2800.1965945003512
104_20100507,1252883.9408163757,508644.2589309853,460770.0408476795,3128.0819022853284,2789.315129034253
1046_20080523,1302647.5623879586,529579.2145917087,447906.0283066949,3150.76247901445,2827.665802741395
1049_20130312,1151333.5754713826,418344.8498192874,389734.9009614457,2438.3258171054003,2066.3254712826056
105_20070423,1512716.181265883,668675.4278728755,530178.0136069554,4923.322393812257,4417.885016998524
105_20081010,1517964.4746103813,669393.780157719,526771.9913091579,4937.615090022793,4413.3617484068445
105_20100624,1516131.5772820977,667064.1207438044,523969.73688750085,4885.50876750672,4453.176237109168
105_20111205,1520909.3242395765,665632.3821642261,521152.11411643046,4854.431938101512,4376.94085805232
105_20130222,1514796.2699018775,658464.7061300615,516349.1360430858,4860.6711135241,4430.858941604916
105_20140814,1514991.681148111,654455.4516652301,512059.7960020207,4748.083689356011,4308.732447069726
105_20170825,1537550.2855553671,646761.2487969273,529219.4552384497,4984.058075215662,4640.700140784444
1050_20080409,1578453.595092571,739583.3095371675,556769.1101176989,4403.109174632292,4281.944065194929
1050_20091026,1577841.0967920322,737714.3344468848,559857.1081628314,4380.035961701954,4257.614008454423
1050_20110809,1576867.6584557318,730833.4296076698,551733.8992082331,4354.94295194986,4164.720688951657
1050_20121204,1570401.8896997436,717536.6710344234,551072.9388272747,4289.471017449458,4112.958325075139
1050_20140811,1574405.0799306713,717676.101578705,552549.5157738216,4309.463219051183,4058.6287298800175
1050_20151124,1572308.916852659,709954.7085011272,546599.5857926147,4271.217914201114,3968.3578446975584
1056_20130903,1314110.7623820095,513702.4935576961,432175.5733944291,2485.5362861179256,2651.65385775912
1066_20080509,1286190.1039800304,537712.5450952153,495878.8770327357,4015.859787997897,3591.1555993737047
1067_20080423,1295400.107596021,570054.7369236418,447521.9675251615,2705.946752613238,2386.853702537035
1067_20091211,1292131.5545061135,555831.3801175922,451202.2162158417,2646.4968893477053,2317.8694377682696
1067_20110614,1292860.014364744,560546.8520934236,444349.8563190252,2558.50011342826,2229.255553565476
1067_20121112,1288371.2360036834,553705.8527009563,440724.8128999818,2549.26185176896,2181.0164928865543
107_20070330,1628947.6139567574,730072.6212577147,514453.9376354401,3393.217739848812,3613.0061523766417
1078_20080208,1383304.1616347218,530407.8963444956,460497.825775606,2554.004729984952,2612.1593495876723
1089_20070629,1465581.1185156005,614325.1371296267,496168.1362993855,3158.165821032122,2941.0954084720743
1089_20090710,1461068.791807688,582636.1472289899,487615.5656360421,2955.1493169569794,2953.530162897649
109_20090501,1614202.1459814943,628125.6867765285,557960.3608675917,3656.3381403909184,2187.9443906665547
109_20110708,1611177.8221904887,611771.8147220674,554561.7930466561,3520.8041140030064,2286.276758589974
109_20130123,1602609.649238125,595903.9960340912,534529.3733148788,3257.1947898276258,2339.6046248299194
109_20140616,1604990.815014338,581985.0957482965,541956.0053720906,3305.903601199912,2328.543693506491
1090_20080618,1186482.891247707,499447.2807324641,411383.6454718703,2522.5695466993548,2476.853239911028
