MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
10_20081128,1663756.8661117554,576073.4140951369,483093.6684977036,3142.6780644863484,2768.279594709996
100_20080707,1508223.6599314213,616732.0362842751,489245.76700696105,2958.1820626596746,2944.528914678169
1000_20080411,1363368.054175377,662431.3200837924,512041.7994261271,4035.224532187934,3579.594064111817
1000_20130111,1355933.0377554891,649546.8166451317,506534.1611058996,3970.042657132237,3571.393171318832
1000_20140408,1360572.0540642738,644966.1848105062,508317.76047133113,3890.9076476658342,3501.1862657764527
1001_20080411,1592548.8632822037,631179.8746763679,514708.7988763673,3790.7083286866937,3592.445016441569
1001_20130111,1585372.4281253817,609094.2787549596,512596.72284516616,3501.5433570551622,3337.01952698642
1001_20140429,1588405.2631175518,608207.8703847104,515168.8674904867,3385.7506888040907,3310.1276676757284
101_20080905,1570090.862389803,640105.303463978,478507.89011692826,3574.9754090655133,3302.835734086207
101_20100514,1565722.8622162342,630249.5537524266,478181.3102549186,3442.4714259765524,3271.4986330913757
101_20111123,1564447.2621655464,622882.4060025803,476941.2505580245,3437.6001951360195,3241.2599159626475
101_20130214,1562908.862104416,621990.2274528111,475494.7851083826,3327.8947562391363,3192.846569166416
101_20140909,1562060.3173589706,607957.5989484625,476231.2737139446,3279.1790509889656,3113.2976316592053
101_20170804,1572067.5622149706,591947.467887819,486856.04366735,3216.4532427689155,3099.110915756135
1013_20080328,1362286.854132414,640110.857713662,486542.2963798812,3374.59336756401,3123.923684792365
1013_20100205,1360053.6540436745,627272.9574775583,487051.0015193519,3194.662328014131,2894.3741629006386
1013_20110906,1356231.6538918018,606546.6960067882,480324.5640346384,3169.5029079104197,2779.7995563589584
102_20080822,1420239.6564352512,641001.5267846355,486850.97922913847,3911.0950011533264,3321.470546237409
102_20100507,1421247.6564753056,630204.4035113938,485438.3543022342,3753.775204264197,3075.222079530688
102_20110919,1418366.456360817,621226.3150057701,474373.2085024011,3549.677995756245,2952.0157837918323
102_20130225,1414599.6562111378,612996.4719345318,478832.7948063891,3464.51108850872,2820.374047893129
102_20140805,1411716.0560965538,605291.262548558,477614.3841962548,3393.7930858614627,2766.573446783914
1020_20110219,1559828.4619820118,621206.4327075979,547919.671163828,2764.6041064517094,2559.9815979757773
1024_20120517,1405057.0,586232.4517795363,524305.2772948002,3703.600636842491,3071.576455617103
1025_20120707,1616316.0,562195.0905639739,510959.6081459319,3312.421580928482,3348.6954283692053
