MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
10_20081128,1591552.8632426262,607837.3874872389,472885.446213283,3258.2971799616075,2924.0575618980406
100_20080707,1499598.0595886707,627657.9323258634,484878.2113606447,3063.3089668031043,2994.6505663517823
1000_20080411,1363675.254187584,681850.912886001,497797.53712614265,4065.7746067392,3538.5200229497464
1000_20130111,1353654.2292889357,667776.8538554893,490095.670281488,3958.978441386438,3464.581517870361
1000_20140408,1358155.2539682388,667979.6447416319,492526.6920893871,3862.454011146885,3483.410437923442
1001_20080411,1578390.0627195835,646865.6491741585,501047.125235208,3871.461425883337,3695.3376541919297
1001_20130111,1573169.6494607923,627770.1058065856,498157.0386055591,3620.3304863472063,3488.3449518946563
1001_20140429,1577206.8626725674,627527.5708930497,500194.65297765646,3546.8779363619283,3447.8699939665494
101_20080905,1560955.2620267868,657328.2128788834,456185.47412507416,3657.4605087961527,3301.2786017177177
101_20100514,1556978.461868763,648924.817454115,455871.58819929673,3566.5080517494653,3276.6466124385543
101_20111123,1554902.46178627,641961.1314510802,455246.4051762993,3492.913767449328,3240.18793719786
101_20130214,1556242.8618395329,642690.5955805867,449814.0598626384,3483.2893684712944,3167.929837169368
101_20140909,1549349.8789739609,631102.5302818249,452020.3993274062,3410.1916086873343,3112.256713352196
101_20170804,1567184.5604686737,617146.3784724703,450345.1030638394,3335.9707602936223,3037.594819753137
1013_20080328,1350771.653674841,655583.4576326597,473736.7353592569,3365.249906053695,3123.876753109112
1013_20100205,1352047.2537255287,647946.3409265594,474414.2837616911,3209.7725582361327,2964.8195713877444
1013_20110906,1349168.4536111357,624554.9391758656,464562.0457757533,3308.197849875523,2748.5642266747423
102_20080822,1390222.8552424908,679079.0138098728,474722.589789205,4278.203464941015,3462.3083436698057
102_20100507,1391197.25528121,672827.0442177427,471111.5289766253,4055.649335694465,3285.9640603071944
102_20110919,1383980.45499444,654097.8759525785,467342.60398485407,3919.330071437428,3112.1539004454107
102_20130225,1383134.454960823,652867.7299906648,464890.3186848653,3744.312917096126,2977.58482472853
102_20140805,1379148.0548024178,641633.0082050657,465517.38899668487,3629.466888252748,2844.3473796865887
1020_20110219,1553024.4617116451,637258.0237631811,531166.02932961,2712.629627712224,2479.487122031051
1024_20120517,1392311.0,606888.1090503488,508291.5024014031,3904.9177949466753,3130.507480009854
1025_20120707,1575948.0,599603.5402183321,500854.9711031075,3413.6024792696203,3492.545439316525
1025_20170731,1574461.4984750748,554868.4789671145,474586.7829221773,3047.1659226034526,3334.1717144194563
1026_20130521,1590703.7800139785,639459.0465958545,488978.981175445,3736.217618785826,3404.4332639280665
1026_20170904,1560220.7657557726,601649.1637370491,489010.0210547905,3677.1598786064737,3337.123409273722
1027_20120322,1563426.0,654786.2386835066,508740.06188972166,3855.2832049614112,3493.9933197989544
1027_20170710,1555717.9072719812,617026.324822365,497373.559989664,3758.566783954419,3409.2746886003765
